platform,title,company,location,url,date,description,source_api,id,relevance_score,salary,posted_time
Indeed,1000 Laravel Developer Job Vacancies,Indeed,india,https://in.indeed.com/q-laravel-developer-jobs.html,2026-04-22,"Php Laravel Developer ... Work Type: Work from Home. Proficient in Laravel framework and backend development. Strong experience with cPanel, backend programming, ...",Google Web Search,8df4cd2d,0.8,,
Naukri.com,Laravel Developer Jobs,Naukri.com,india,https://www.naukri.com/laravel-developer-jobs,2026-04-22,3498 Laravel Developer Jobs Available On Naukri.com. Explore Laravel Developer Job Vacancies In Your Desired Locations Now!,Google Web Search,998cefaa,0.8,,
LinkedIn India,1000+ Laravel Developer jobs in India,LinkedIn India,india,https://in.linkedin.com/jobs/laravel-developer-jobs,2026-04-22,"1,000+ Laravel Developer Jobs in India (114 new) ; AARK INFOSOFT PVT LTD. Ahmedabad, Gujarat, India ; SentientGeeks. Greater Kolkata Area. Actively Hiring ; Groww.",Google Web Search,75888bf3,0.8,,
Glassdoor,1491 Laravel developer jobs in India,Glassdoor,india,"https://www.glassdoor.co.in/Job/laravel-developer-jobs-SRCH_KO0,17.htm",2026-04-22,"1,491 Laravel developer jobs in India ; Intileo Technologies Logo. Intileo Technologies · Gurgaon. ₹40K (Employer provided) · web developer jobs in Gurgaon ; Appic.",Google Web Search,ef2e745e,0.8,,
Indeed,500 Laravel Developer 2 Year Experience Job Vacancies,Indeed,india,https://in.indeed.com/q-laravel-developer-2-year-experience-jobs.html,2026-04-22,"laravel developer 2 year experience jobs ; Laravel Developer (8mos. to 2 year exp). Tech2globe web Solutions LLP. Noida, Uttar Pradesh ; Laravel Developer ...",Google Web Search,34e01d1b,0.8,,
Wellfound,Laravel Developer Jobs,Wellfound,india,https://wellfound.com/role/laravel-developer,2026-04-22,Find the best Laravel Developer jobs in 2026 on Wellfound! Apply to all of them with a single profile and get in touch with hiring managers ...,Google Web Search,6a3d5ff8,0.8,,
BeBee,51304+ Laravel Developer Jobs in India 2026,BeBee,india,https://bebee.com/in/jobs/role/laravel-developer,2026-04-22,"The estimated salary for Laravel Developer in India ranges from ₹11,50,000 to ₹18,30,000 INR per year, depending on experience and location. How many Laravel ...",Google Web Search,c077c1b6,0.8,,
Nexurge,Senior Php Laravel Developer,Nexurge,Bunghmun,https://bebee.com/in/jobs/senior-php-laravel-developer-nexurge-bunghmun--jobs-sea-3983766952,2026-04-22,"🚀 We're Hiring: Senior PHP Laravel Developer Company: Nexurge Location: Remote (India) — must overlap 4-5 hours with European business hours (CET/GMT) Type: Full-time Compensation: ₹12–20 LPA (based on experience) Apply now — Fill out the application form here 👈 https://www.notion.so/braindio/4a7c10f77baa48fd98b3842151f6d6f5 We review every application and will get back to you within 3 business days.

We're looking to move fast — the role starts with an onboarding period in May 2026.

The Role

",RapidAPI JSearch,6ace346a,0.8,Not specified,2026-04-19T00:00:00.000Z
Confidential,Senior php laravel developer,Confidential,Budhgaon,https://bebee.com/in/jobs/senior-php-laravel-developer-confidential-sngli--clickajo-284_11084380,2026-04-22,"We're Hiring: Senior PHP Laravel Developer

Company: Nexurge

Location: Remote (India) — must overlap 4-5 hours with European business hours (CET/GMT)

Type: Full-time

Compensation: ₹12–20 LPA (based on experience)

Apply now — Fill out the application form here We review every application and will get back to you within 3 business days. We're looking to move fast — the role starts with an onboarding period in May 2026.

The Role

You'll be the primary developer responsible for maintaining, imp",RapidAPI JSearch,efc32adc,0.8,Not specified,2026-04-20T00:00:00.000Z
Glassdoor,Laravel Developer(TALL Stack),Infynno Solutions LLP,Ahmedabad,"https://www.glassdoor.com/job-listing/laravel-developer-tall-stack-infynno-solutions-JV_IC2935226_KO0,28_KE29,46.htm?jl=1010106128515",2026-04-22,"Title - Sr. Laravel Developer (TALL Stack )
At least 2 Year experience are must required in LIVEWIRE.

Designation: Sr.Laravel Developer (TALL Stack)

Experience: 3 to 5 Years

Location: Ahmedabad

Work Mode: Work From Office

Role Description

We are hiring a Sr.Laravel Developer (TALL Stack) to strengthen our engineering team and support the development of high-performance, scalable applications. The role involves working with large datasets (1+ million records), complex job queues, and perfor",RapidAPI JSearch,b5401e55,0.8,Not specified,2026-04-19T00:00:00.000Z
