platform,title,company,location,url,date,salary,description,source_api,posted_time,id,relevance_score
Google Jobs,Senior Php Laravel Developer,Nexurge,"Vijayawada, Andhra Pradesh",https://www.google.com/search?ibp=htl;jobs&q=Laravel+developer+India&htidocid=n5r6MstWFaeagRIoAAAAAA%3D%3D&hl=en-IN&shndl=37&shmd=H4sIAAAAAAAA_xXLsQrCMBAAUFz7CU63uIg0InTRSRBcRAqCa7m2R5ISc-Euat38B0f_zi9Rl7e94j0pqhNFzwK1S3BAwRsF2NFPTiTweb5g4BaUUDoHHGHPbANNNy7npGtjVENpNWP2XdnxxXCklkfzS_qnUYdCKWCmZlUtxzJFO58dabyKJfARzn7AB96xxwVsY-8EoRbsSd0XQHGnsZ4AAAA&shmds=v1_ATWGeeMWZjgrZMz6IhXEHi-f9nQqVH6o_3SNLj3cTxkZYMe9vg&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Laravel+developer+India&htidocid=n5r6MstWFaeagRIoAAAAAA%3D%3D,2026-04-22,Not specified,"🚀 We're Hiring: Senior PHP Laravel Developer Company: Nexurge Location: Remote (India) — must overlap 4-5 hours with European business hours (CET/GMT) Type: Full-time Compensation: ₹12–20 LPA (based on experience) Apply now — Fill out the application form here 👈 We review every application and will get back to you within 3 business days.


We're looking to move fast — the role starts with an onboarding period in May 2026.


The Role
You'll be the primary developer responsible for maintaining, im",SerpAPI Google Jobs,3 days ago,6ace346a,0.8
Confidential,Senior php laravel developer,Confidential,Budhgaon,https://bebee.com/in/jobs/senior-php-laravel-developer-confidential-sngli--clickajo-284_11084380,2026-04-22,Not specified,"We're Hiring: Senior PHP Laravel Developer

Company: Nexurge

Location: Remote (India) — must overlap 4-5 hours with European business hours (CET/GMT)

Type: Full-time

Compensation: ₹12–20 LPA (based on experience)

Apply now — Fill out the application form here We review every application and will get back to you within 3 business days. We're looking to move fast — the role starts with an onboarding period in May 2026.

The Role

You'll be the primary developer responsible for maintaining, imp",RapidAPI JSearch,2026-04-20T00:00:00.000Z,efc32adc,0.8
Infysion Technologies,PHP Laravel Developer (6-8 year of Experience) Immediate Joiner,Infysion Technologies,Amravati,https://bebee.com/in/jobs/php-laravel-developer-6-8-year-of-experience-immediate-joiner-infysion-technologies-amrvati--jobted-fce02d449861df58c089deebc37a19d7,2026-04-22,Not specified,"Job Title: PHP Laravel Developer Experience: 6–8 Years Location: Pune Employment Type: Full-time Work Type: Hybrid Joining: Immediate Joining Job Summary: We are looking for an experienced PHP Laravel Developer to join our development team. The ideal candidate should have strong expertise in Laravel framework, backend development, and building scalable web applications. You will be responsible for developing, maintaining, and optimizing high-performance applications.

Key Responsibilities

• Dev",RapidAPI JSearch,2026-04-17T00:00:00.000Z,aab4dc55,0.8
Glassdoor,Laravel Developer(TALL Stack),Infynno Solutions LLP,Ahmedabad,"https://www.glassdoor.com/job-listing/laravel-developer-tall-stack-infynno-solutions-JV_IC2935226_KO0,28_KE29,46.htm?jl=1010106128515",2026-04-22,Not specified,"Title - Sr. Laravel Developer (TALL Stack )
At least 2 Year experience are must required in LIVEWIRE.

Designation: Sr.Laravel Developer (TALL Stack)

Experience: 3 to 5 Years

Location: Ahmedabad

Work Mode: Work From Office

Role Description

We are hiring a Sr.Laravel Developer (TALL Stack) to strengthen our engineering team and support the development of high-performance, scalable applications. The role involves working with large datasets (1+ million records), complex job queues, and perfor",RapidAPI JSearch,2026-04-19T00:00:00.000Z,b5401e55,0.8
Google Jobs,PHP Laravel Developer,Mutiny India Private Limited,"Patna, Bihar",https://www.google.com/search?ibp=htl;jobs&q=Laravel+developer+India&htidocid=gKdcFokiLFgtxZYgAAAAAA%3D%3D&hl=en-IN&shndl=37&shmd=H4sIAAAAAAAA_xXLMQrCQBBAUWxzBKupRbIi2GgnggoR9gZhkgzJyGZn2R1D7LyDpbfzJK7Naz6_-CyK0l4sVBhxIgcnykqgCN_XG-7SQCKM7QDi4SzSO1oeBtWQ9sak5Mo-KSq3ZSujEU-NzCZP6U-dBowUHCrV291mLoPvV-vbQ9k_4eo7RrCRp5yh4pGVOmAPFtXjGo6c5x8csVAqngAAAA&shmds=v1_ATWGeeMIl617YaCnN78LYt9wrH_RJl7ZXueuoUSBoO7ctyk27w&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Laravel+developer+India&htidocid=gKdcFokiLFgtxZYgAAAAAA%3D%3D,2026-04-22,₹1.8L–₹2.4L a month,"PLEASE DON'T APPLY IF YOU ARE NOT INTERESTED IN WORKING FROM THE OFFICE. NON-SERIOUS CANDIDATE MAY BE BLACKLISTED.


Responsibilities:

Design, develop, and maintain web applications using the Laravel framework.
Collaborate with designers, front-end developers, and other team members to translate project requirements into robust and user-friendly applications.
Write clean, efficient, well-documented, and maintainable code adhering to best practices.
Implement server-side logic and interact with ",SerpAPI Google Jobs,2 days ago,497602fa,0.7
LinkedIn,Laravel Developer (SSE / DL),AI Enablement & Development,Dadri,https://in.linkedin.com/jobs/view/laravel-developer-sse-dl-at-ai-enablement-development-4401669067,2026-04-22,Not specified,"About Us

E2logy is a leading software solutions company dedicated to empowering businesses with innovative technology and exceptional service. We combine our expertise in various domains with cutting-edge development practices to deliver high-quality, custom software solutions that cater to your unique needs and goals.

Visit our website: https://e2logy.com/ to learn more about our services and expertise.

Job Description

Job Overview:

The Senior Software Engineer / Development Lead (Laravel ",RapidAPI JSearch,2026-04-20T00:00:00.000Z,a6085e61,0.5
Indeed,PHP Laravel Developer - Fresher,YES IT Labs,,https://in.indeed.com/viewjob?jk=41fe9fdf80c766ee,2026-04-22,Not specified,"PHP Developer | Freshers | Noida

About the Role:

We are looking for a PHP Developer with strong fundamentals in backend development and modern PHP frameworks. The candidate should have good problem-solving skills and the ability to work in a fast-paced environment.

Key Responsibilities:

• Develop and maintain software applications and databases

• Ensure performance, quality, and responsiveness of applications

• Write clean, scalable, and efficient code

• Collaborate with the team to under",RapidAPI JSearch,2026-04-21T00:00:00.000Z,d63d598d,0.5
First Phoenics Solutions,PHP and Laravel Developer,First Phoenics Solutions,Pune,https://bebee.com/in/jobs/php-and-laravel-developer-first-phoenics-solutions-pune-city-maharashtra--theirstack-663728641,2026-04-22,Not specified,"Job Title: Senior Engineer (PHP & Laravel, AI-Driven Development)

Location: Pune (Hybrid)

About the Role:
We are seeking a Senior Full Stack Engineer who uses AI as a core part of their development workflow to build, modernize, and deliver software efficiently.
You will work across a portfolio of web applications built with
Linode
,
Vue / Nuxt, PHP / Laravel, Node.js / Express, MySQL, MongoDB, and React Native
—improving legacy systems, increasing test coverage, and building API-driven compone",RapidAPI JSearch,2026-04-15T00:00:00.000Z,bb5f9ef2,0.5
Datalogy Software,Laravel Developer (Only Male Candidate),Datalogy Software,,https://bebee.com/in/jobs/laravel-developer-only-male-candidate-datalogy-software-nagpur--theirstack-649516591,2026-04-22,Not specified,"Must have strong working knowledge in PHP, Laravel, MY SQL, JavaScript, jQuery, HTML,CSS, AJAX.

Experience working in 3rd party Payment Gateway Integration.

Proficient understanding of code versioning tools, such as Git",RapidAPI JSearch,2026-03-24T00:00:00.000Z,475480e0,0.5
Zonvoir Technologies Private Limited,PHP Developer Intern,Zonvoir Technologies Private Limited,Lucknow,https://bebee.com/in/jobs/php-developer-intern-zonvoir-technologies-private-limited-lucknow-uttar-pradesh--theirstack-667456644,2026-04-22,Not specified,"Internship Opportunity – PHP Laravel Developer (Intern) at Zonvoir Technologies Pvt. Ltd., LucknowWe are hiring enthusiastic learners for a PHP Laravel Developer Internship with a structured training and real-world project exposure. Stipend: Paid Intern Working Hours: 10:00 AM – 7:00 PM (5 days working) .How to Apply:Send your updated CV to:Email: carrier@zonvoir.comContact: 9235690212

Pay: ₹8,000.00 - ₹10,000.00 per month

Work Location: In person",RapidAPI JSearch,2026-04-20T00:00:00.000Z,5ad742cf,0.3
