platform,title,company,location,url,date,description,source_api,id,relevance_score,salary,posted_time
Naukri.com,Software Developer Jobs,Naukri.com,India,https://www.naukri.com/software-developer-jobs,2026-04-22,"Apply To 74645 Software Developer Jobs- 119 In Cognizant, 414 In Ibm, 677 In Wipro & 102 In Amazon On Naukri.com, India's No.1 Job Site.",Google Web Search,7eecf198,0.8,,
Indeed,110000 Software Developer Job Vacancies,Indeed,India,https://in.indeed.com/q-software-developer-jobs.html,2026-04-22,"software developer jobs ; Software Developer. SmartDocs. Hyderabad, Telangana ; Software Developer. Lenhart Global Consultancy. Vellayani, Thiruvananthapuram, ...",Google Web Search,360d22a7,0.8,,
Glassdoor,"1,35285 software developer jobs in India, April 2026",Glassdoor,India,"https://www.glassdoor.co.in/Job/india-software-developer-jobs-SRCH_IL.0,5_IN115_KO6,24.htm",2026-04-22,"Search Software developer jobs in India with company ratings and salaries. 1,35285 open jobs for Software developer in India.",Google Web Search,1ed02393,0.8,,
Randstad India,Software developer jobs and overview,Randstad India,India,https://www.randstad.in/jobs/s-it/s2-software-and-application-developers/r-software-developer/,2026-04-22,"On this page, you will find a list of our current software developer jobs and an overview of the typical responsibilities and expectations of a software ...",Google Web Search,b8365463,0.8,,
Mployee.me,Latest Software Developer Jobs in India,Mployee.me,India,https://www.mployee.me/jobs/software-developer-jobs,2026-04-22,"Explore the latest Software Developer job openings in India across companies and locations. Filter by experience, skills, and apply faster with Mployee.me.",Google Web Search,da7c75f5,0.8,,
Google Jobs,"Software Developers for AI-Driven Projects (Europe, Remote)",MobileShifts,"Bhopal, Madhya Pradesh",https://www.google.com/search?ibp=htl;jobs&q=Software+Developer+India&htidocid=DxM6xqeEavKOrPQ8AAAAAA%3D%3D&hl=en-IN&shndl=37&shmd=H4sIAAAAAAAA_xWOMQrCQBBFsc0RrKYSlZiIYKOVEhGLgKi9bJJJdsNmZ9lZo3beweN4G0_i2vzqPd6PPoPocqba34VDyLBHTRYdQ00ONodZ5lSPBo6OWiw9w3h3cwGI4YQdeZzA9_WGlgpgFK6UQAb2RI3G4Vp6b3mVpsw6adgLr8qkpC4lgwU90iDxf64sQ9pq4fG6WM4fiTXNdJRToTSepapDVBnYSrJCx5CLSj5F-CMqZPkDAAIMqb4AAAA&shmds=v1_ATWGeeOKO2rVfPWgV8u8jZAfhCDxKvUBGNH3J_ZVd8D20cGwpA&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Software+Developer+India&htidocid=DxM6xqeEavKOrPQ8AAAAAA%3D%3D,2026-04-22,"We are currently engaging experienced software developers from India (Remote) for ongoing and upcoming AI-driven projects with European companies.


These projects focus on building production-level systems across AI, data platforms, and scalable cloud infrastructure. Work is fully remote, with international teams and long-term opportunities.


We are building a curated, high-quality talent pool for continuous project allocation. Selected candidates will be matched with active and upcoming engag",SerpAPI Google Jobs,ade4da46,0.8,Not specified,3 days ago
Google Jobs,Software Developer,Versigent,"Pimpri-Chinchwad, Maharashtra",https://www.google.com/search?ibp=htl;jobs&q=Software+Developer+India&htidocid=FCS06pfL12ZtREt3AAAAAA%3D%3D&hl=en-IN&shndl=37&shmd=H4sIAAAAAAAA_xXMsQrCMBCAYVz7CE43V21EcNFRwUkQBNdyxjOJpLmQO2xH30HwAX0S6_Jv3199JtXszHftsRDs6UmRMxX4vt7w4CsIYbEeOMGB2UWabr1qlo0xIrFxoqjBNpY7w4muPJgRyT-t-PGYIyq1q_VyaHJydX2hIsFRUggJTqHLJSx2PiTre7zN4YgjQvFa8Acz969fmQAAAA&shmds=v1_ATWGeeO5OMsx1jrjZDZ0pxBatCGEnq69oouHbMxcEa58OhpCqQ&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Software+Developer+India&htidocid=FCS06pfL12ZtREt3AAAAAA%3D%3D,2026-04-22,"Role Overview

We are seeking an experienced Software Developer to design, develop, and maintain Manufacturing Execution System (MES) application - Apriso. The ideal candidate will have strong expertise in .NET technologies, MS SQL, and integration with shop-floor systems. This role involves working closely with manufacturing, operations, and IT teams to deliver robust, scalable solutions that optimize production processes.

Key Responsibilities

Design, develop, and maintain MES application usi",SerpAPI Google Jobs,c217fa3d,0.8,Not specified,2 days ago
Tata Nexarc,Software Developer(Immediate Joiners Preferred),Tata Nexarc,Gurugram,https://bebee.com/in/jobs/software-developerimmediate-joiners-preferred-tata-nexarc-delhi-gurugram-ncr--theirstack-667520436,2026-04-22,"Dear Candidate,

We have an exciting opportunity at our company Tata Business Hub for a Software Developer role, and based on your experience and skill set, we believe this role could be a great fit for you.

Company Details : Tata Business Hub is a digital first B2B organization setup by TATA Group to holistically address the needs of Emerging Businesses. We value the pivotal role of emerging businesses in our Nations economic growth and prosperity, and believe in empowering them to be deeply a",RapidAPI JSearch,68c0ee8c,0.8,Not specified,2026-04-20T00:00:00.000Z
Iq-Eq,"Senior Software Developer | Hyderabad, IN",IQ-EQ,Hyderabad,https://www.efinancialcareers.com/jobs-India-Hyderabad-Senior_Software_Developer.id24138634,2026-04-22,"Senior Software Developer

{""description"": "" Company Description 

ABOUT IQ-EQ 

We're a leading Investor Services group offering end-to-end services in administration, accounting, reporting, regulatory and compliance needs of the investment sector worldwide. 

We employ a global workforce of 6000 people across 27 jurisdictions and have assets under administration (AUA) exceeding US$750 billion. We work with 13 of the world's top 15 private equity firms. 

Our services are underpinned ",RapidAPI JSearch,4de4aef7,0.8,Not specified,2026-04-17T00:00:00.000Z
Remotive,Senior Independent Software Developer,A.Team,Remote,https://remotive.com/remote-jobs/software-development/senior-independent-software-developer-1919265,2026-04-16,"<p style=""text-size-adjust: 100%; overflow-wrap: break-word;""><em>You must be located in the Americas, Europe, or Israel to apply.<br></em><br><br><a href=""https://build.a.team/remotivereferral"" rel=""nofollow"">A·Team</a> is a VC-backed, stealth, application-only home on the internet for senior independent software builders to team up with hand-picked, high-growth companies on their next big thing.",Remotive API,e6b09056,0.7,$90 - $150 /hour,
Google Jobs,.NET Software Developer,ABN Consultancy Service,"Coimbatore, Tamil Nadu",https://www.google.com/search?ibp=htl;jobs&q=Software+Developer+India&htidocid=aSqaKC-lru3D5LtaAAAAAA%3D%3D&hl=en-IN&shndl=37&shmd=H4sIAAAAAAAA_xWMOw6CQBBAY8sRrKY2hkUTG638xY4GerKsI6xZdjY7A2LnHbyBR_MkYvOKl7yXfGZJlubnEgq6yUNHhBMO6ChghO_rDXeqgVFH0wJ5uBA1Due7ViTwVilmlzYsWqxJDXWKPNY0qiniPypup2NwWrBab7IxDb5ZrPaHHI7kuXeivXlCgXGwBsH6Sduu1kIRl1DqzjrI9bX_ASEBvTulAAAA&shmds=v1_ATWGeeNPD2i1l9UqESFpQfBIJJiJlaKymvwAUd42aB8J566mJw&source=sh/x/job/li/m1/1#fpstate=tldetail&htivrt=jobs&htiq=Software+Developer+India&htidocid=aSqaKC-lru3D5LtaAAAAAA%3D%3D,2026-04-22,"Responsibilities
Design, develop, test and maintain web applications using .NET technologies such as ASP.NET MVC, SQL Server, JavaScript, Bootstrap.
Perks and benefits
Food allowance, Free Accommodation",SerpAPI Google Jobs,7a26ce44,0.7,₹4L–₹7L a month,3 days ago
